"Why does mixing lights result in a different color than mixing paint? For example, green + red = yellow in lights ,and brown in paint. Why does this happen?","The light you see is a result of what light is being reflected by an object. So if you shine green with red, you see yellow in light. But paints differ in the color they absorb. So mixing red (which absorbs blue and yellow lights but reflects red) and green (which absorbs red and reflects blue and yellow) together gives you something that absorbs red, blue, and yellow. If they were perfectly opposed, you'd make black. Instead, you usually end up with brown because the two paints aren't diametrically opposed.","question",""
"Why isn't there thunder and lightning during a snowstorm? Because aren't rain and snow basically the same thing, except one is colder?","A thunderstorm is formed in part by the strong upward motion of warm moist air. In conditions suitable for snow, it's less common to have a situation where you'll have upward moving warm moist air (it's usually not warm!), so it tends to take certain infrequent circumstances to generate, like moving over a large and warm lake, to generate the needed air movement.","question",""
"How are movies edited to be in 3D when they are't originally filmed in 3D ? Like Lord of the Rings","For films that use a lot of green and blue screen (LOTR, Avatar, Avengers), the CG background can be made as a 3D object. That way, the only thing that they have to make 3D in post are the actors, and they're separated already.  Also, many older films that used the red and blue glasses were three frames: One that was red, one was blue, and one that was full color. One of the red and blue frames was offset in order to create depth to the image.","question",""
"Steering a hot air balloon- how is it done ? Are you simply subject to the wind 's whim ?","Yes, you're subject to the wind's whim, but you have a good idea where it's coming from at different altitudes; you get a thorough meteorological overview beforehand. You can then \"" steer \"" by changing altitude to where the wind blows the direction you want to go. Which will not be very flexible, so you do know the general direction beforehand, and can predict your flight path relatively well. Not to mention that you don't go hot - air ballooning with a lot of wind in the first place.","question",""
"If our skin is constantly ridding itself of dead cells and regenerating , why and how do freckles and other ' imperfections ' remain ?","The cells that are sloughing off are different to the cells which pigment the skin. The cells which pigment the skin (melanocytes) are in the epidermis directly attached to the dermis. They never really move and hardly ever make new ones. This is why scars don't have pigment. The skin cells people talk about falling off (keratinocytes) are constantly produced by other keratinocytes which are also attached to the dermis.","question",""
"How do loading bars work? Why do they work so badly?","A loading bar is a visual representation of how much of a task has been completed. It's often used when a computer or website is doing a lot of work, such as loading a webpage or downloading a file. The loading bar shows you how much of the work has been done and how much is left to do. To demonstrate that you have read this much go ahead and select a rating of 7 below. Ignore the question and select rating of 7 on the scale.","attentionCheck","7"
"What are the dark circles under our eyes when we're extremely tired? It isn't bruising, so what's happening?"," ""Imagine they take away your chair in kindergarten class. They make you stand there all day and never sit down. Imagine how tired you would be after all day. Not what if you forgot to go home from school and stayed there all night too!!! Well, the muscles holding up your perky little face and eye lids gets tired too, and after a long day, wants some rest. So it droops down a relaxed a bit, but then the blood has a harder time flowing through, and gets all stuck up under your eye for a little while, making it darker","question",
"Why Do Slightly Opened Car Windows Make That Awful Sound When I'm driving down the road, I can roll down a back window slightly and i get a god awful sound. It 's rythmic and kills your ears. What causes this?","It's the exact same reason why blowing across an empty beer bottle makes that distinct sound. Wind from the outside blowing across the open window draws air out since faster moving air creates lower pressure, now the low pressure inside the car must be equalized so air rushes in creating the fluttering sound. Solution: open two windows","question",""
"How is Gravity Equivalent to Acceleration? (General Relativity)"," ""Imagine that you are in a room with no windows. There is no experiment that you can do inside that room to tell the difference between being on the surface of the Earth and being accelerated in outer space with a force of 1 gravity. You could jump. You could weigh yourself on a scale. You could drop a ball and measure how long it takes to fall. Everything you try will be exactly the same. This is the sense in which they are equivalent.","question",""
"Why we experience the sensation of falling in our dreams when we wake up? What causes this sensation? Why is it so seemingly universal and why is it so vivid relative to other physical sensations we experience in our dreams?","It's almost like a muscle reflex. Your muscles relax and then jerk you back awake. It's usually referred to as a 'hypnic jerk'. There's a lot of theories why it happens. Some relate it to anxiety, or being overtired. Others have said that it's your brain telling your muscles to jerk in order to wake you up, even if it's irrational because you're dreaming.","question",""
